(6.68067e-11, 0, 0), (1100, 0, 0), (1.99993, 0, 0)
(1.503e-10, 0, 0), (2100, 0, 0), (2.99985, 0, 0)
(1.07912e-08, 0, 0), (101100, 0, 0), (101.989, 0, 0)
(1.09004e-08, 0, 0), (102100, 0, 0), (102.989, 0, 0)
(2.17311e-08, 0, 0), (201100, 0, 0), (201.978, 0, 0)
(2.18406e-08, 0, 0), (202100, 0, 0), (202.978, 0, 0)
(3.26898e-08, 0, 0), (301100, 0, 0), (301.967, 0, 0)
(3.27994e-08, 0, 0), (302100, 0, 0), (302.967, 0, 0)
(4.36563e-08, 0, 0), (401100, 0, 0), (401.956, 0, 0)
(4.37659e-08, 0, 0), (402100, 0, 0), (402.956, 0, 0)
(5.4627e-08, 0, 0), (501100, 0, 0), (501.945, 0, 0)
(5.47367e-08, 0, 0), (502100, 0, 0), (502.945, 0, 0)
(6.56004e-08, 0, 0), (601100, 0, 0), (601.934, 0, 0)
(6.57101e-08, 0, 0), (602100, 0, 0), (602.934, 0, 0)
(7.65757e-08, 0, 0), (701100, 0, 0), (701.923, 0, 0)
(7.66854e-08, 0, 0), (702100, 0, 0), (702.923, 0, 0)
(8.75523e-08, 0, 0), (801100, 0, 0), (801.913, 0, 0)
(8.76621e-08, 0, 0), (802100, 0, 0), (802.912, 0, 0)
(9.853e-08, 0, 0), (901100, 0, 0), (901.902, 0, 0)
(9.86398e-08, 0, 0), (902100, 0, 0), (902.901, 0, 0)
(1.09509e-07, 0, 0), (1.0011e+06, 0, 0), (1001.89, 0, 0)
(1.09618e-07, 0, 0), (1.0021e+06, 0, 0), (1002.89, 0, 0)
(1.20488e-07, 0, 0), (1.1011e+06, 0, 0), (1101.88, 0, 0)
(1.20598e-07, 0, 0), (1.1021e+06, 0, 0), (1102.88, 0, 0)
(1.31467e-07, 0, 0), (1.2011e+06, 0, 0), (1201.87, 0, 0)
(1.31577e-07, 0, 0), (1.2021e+06, 0, 0), (1202.87, 0, 0)
(1.42448e-07, 0, 0), (1.3011e+06, 0, 0), (1301.86, 0, 0)
(1.42557e-07, 0, 0), (1.3021e+06, 0, 0), (1302.86, 0, 0)
(1.53428e-07, 0, 0), (1.4011e+06, 0, 0), (1401.85, 0, 0)
(1.53538e-07, 0, 0), (1.4021e+06, 0, 0), (1402.85, 0, 0)
(1.64409e-07, 0, 0), (1.5011e+06, 0, 0), (1501.84, 0, 0)
(1.64519e-07, 0, 0), (1.5021e+06, 0, 0), (1502.84, 0, 0)
(1.7539e-07, 0, 0), (1.6011e+06, 0, 0), (1601.82, 0, 0)
(1.755e-07, 0, 0), (1.6021e+06, 0, 0), (1602.82, 0, 0)
(1.86372e-07, 0, 0), (1.7011e+06, 0, 0), (1701.81, 0, 0)
(1.86482e-07, 0, 0), (1.7021e+06, 0, 0), (1702.81, 0, 0)
(1.97354e-07, 0, 0), (1.8011e+06, 0, 0), (1801.8, 0, 0)
(1.97464e-07, 0, 0), (1.8021e+06, 0, 0), (1802.8, 0, 0)
(2.08336e-07, 0, 0), (1.9011e+06, 0, 0), (1901.79, 0, 0)
(2.08445e-07, 0, 0), (1.9021e+06, 0, 0), (1902.79, 0, 0)
(2.19318e-07, 0, 0), (2.0011e+06, 0, 0), (2001.78, 0, 0)
(2.19428e-07, 0, 0), (2.0021e+06, 0, 0), (2002.78, 0, 0)
(2.303e-07, 0, 0), (2.1011e+06, 0, 0), (2101.77, 0, 0)
(2.3041e-07, 0, 0), (2.1021e+06, 0, 0), (2102.77, 0, 0)
(2.41282e-07, 0, 0), (2.2011e+06, 0, 0), (2201.76, 0, 0)
